#{"t_start": 1754431410.8431542, "env_id": "None"}
r,l,t
45.5,200,412.830564
35.41,200,413.217084
36.01,200,413.585635
34.7,200,413.961632
1.9,200,414.323633
42.8,200,414.678634
37.5,200,415.025159
44.3,200,415.383161
42.4,200,415.76004
38.02,200,416.107566
37.93,200,416.450565
30.3,200,416.795565
40.8,200,417.137095
33.71,200,417.495091
43.91,200,417.896689
26.0,200,418.258693
25.32,200,418.622691
33.14,200,418.963692
42.4,200,419.314747
44.52,200,420.199719
31.25,200,420.550719
9.02,200,420.899719
41.51,200,421.27172
38.44,200,421.61872
3.93,200,421.98072
41.92,200,422.355358
36.91,200,422.717358
54.1,200,423.065358
46.8,200,423.42036
30.46,200,423.762359
-91.91,200,424.124883
46.3,200,424.541857
39.82,200,424.880856
43.73,200,425.220858
27.67,200,425.585858
31.98,200,425.920858
40.01,200,426.282857
-150.77,200,426.670954
36.31,200,427.03895
38.13,200,427.37795
47.8,200,427.720951
40.3,200,428.063949
44.11,200,428.418951
44.51,200,428.774952
33.92,200,429.61751
-71.74,200,429.998511
37.01,200,430.354514
41.51,200,430.699513
44.7,200,431.101259
-9.59,200,431.44742
47.4,200,431.808421
51.5,200,432.153423
18.42,200,432.505467
39.4,200,432.856466
37.53,200,433.23477
-69.11,200,433.582465
39.94,200,433.925465
49.61,200,434.260994
40.13,200,434.626994
12.23,200,434.979995
44.31,200,435.325994
48.6,200,435.709585
43.52,200,436.053585
47.01,200,436.404584
-24.32,200,436.750583
43.61,200,437.098587
-111.34,200,437.446584
39.23,200,437.832962
48.03,200,438.219962
